Instrument,Price Close,"Free Operating Cash Flow, Discrete",Total Debt,"PERCENT_CHG(TR.PriceClose(SDate=2023-08-31),lag=-10D)",Total Common Shares Outstanding,Cash and Equivalents,Net Income Reported - Actual,EBITDA - Mean,Interest Expense - Actual,Short Interest,"PERCENT_CHG(TR.Volume(SDate=2023-08-31),lag=-10D)",Current Assets,Noncurrent Asset,Current Liabilities,"ZAV(TR.PtoDPSMeanEst(SDate=2023-08-31,Period=FQ1))","ZAV(TR.PtoEPSMeanEst(SDate=2023-08-31,Period=FQ1))",Book Value Percentage of Market Capitalization (O/S),1 Month Total Return,Company Market Cap
FN.N,160.77,151039000.0,12156000,38.3205712810806,36183680,401000,247913000,81550000,1472000,563589.0,128.18041131393,1652540000.0,327108000.0,481885000.0,0.0,86.6684636118598,31.1535080752749,30.030734390165,5818402472.19
TGLS.N,38.97,57724000.0,169484000,18.6301369863014,47674770,103671000,155743000,76677170,8156000,888405.0,38.2195317608515,432134000.0,302174000.0,209802000.0,487.125,40.1132269686052,23.77854340457,-17.2259983007646,1857833684.01
HPP.N,6.81,-209825000.0,4651998000,16.4102564102564,141054480,255761000,-56499000,108682500,149901000,15228399.0,-0.486074977283412,,,,56.75,0.0,210.045056132761,16.0136286201022,959785750.62
ENV.N,54.63,-3288000.0,916655000,4.13648494090736,54013830,162173000,-80939000,65498670,10897000,4031794.0,129.414856519058,305232000.0,1806933000.0,327064000.0,0.0,101.435282321704,22.1045818581469,-11.8586640851888,2979202308.03
PLOW.N,30.27,957000.0,206436000,-1.75267770204479,22886790,20670000,38609000,24033330,11253000,175086.0,124.469820554649,252921000.0,343970000.0,100431000.0,0.0,63.9511545855957,28.6498171075484,-2.51207729468598,695724620.55
GDOT.N,14.84,193360000.0,3485433000,-5.65797838525112,51674000,813945000,64212000,26755380,255000,1721117.0,110.977459069062,1465832000.0,3323344000.0,3961671000.0,0.0,68.3178344535494,93.9687289031407,-24.0920716112532,776821792.88
ZWS.N,29.62,56900000.0,535900000,3.24154757755315,176876410,124800000,61700000,94700000,26900000,4341216.0,-0.644305798752189,757500000.0,2106500000.0,289300000.0,423.142857142857,107.987896022458,42.9480636990469,-2.45640905616205,5122712591.96
MRC.N,9.32,-55000000.0,340000000,2.08105147864183,83648090,,51000000,71133330,24000000,1671859.0,-11.4849533353183,1142000000.0,753000000.0,564000000.0,0.0,26.1305969103093,39.8683170220287,-17.4490699734278,782990460.64
FAF.N,61.68,303000000.0,2012000000,0.949263502454989,103200000,1224000000,263000000,227800000,93000000,1435437.0,241.940454987558,,,,117.485714285714,48.8748019017433,86.0800637361111,-2.68223414326284,6358371619.2
SIX.N,22.96,152572000.0,2382442000,8.86676149834045,83178290,80122000,108928000,249039000,141590000,5440858.0,-18.7185975387752,240790000.0,2425035000.0,434309000.0,0.0,15.3111579396623,,-3.93305439330538,1917612128.32
